,2026-06-30,2026-03-31,2025-12-31,2025-09-30,2025-06-30,2025-03-31,2024-12-31
Free Cash Flow,7691000000.0,3842984621.226505,3574000000.0,4969000000.0,3447000000.0,,
Repurchase Of Capital Stock,,,0.0,0.0,0.0,0.0,0.0
Repayment Of Debt,-5227000000.0,-3122650465.160433,-4056000000.0,-2764000000.0,-3349000000.0,,
Issuance Of Debt,614000000.0,1319157015.378773,5000000.0,2243000000.0,2572000000.0,,
Capital Expenditure,-4559000000.0,-4506170495.538257,-6588000000.0,-4887000000.0,-4084000000.0,,
End Cash Position,6483000000.0,6511106891.968863,6471000000.0,8964000000.0,6996000000.0,,
Beginning Cash Position,6570000000.0,6760584773.115626,8964000000.0,6996000000.0,4695000000.0,,
Effect Of Exchange Rate Changes,50000000.0,-289348775.393962,-82000000.0,95000000.0,60000000.0,,
Changes In Cash,-137000000.0,39870894.2472,-2411000000.0,1873000000.0,2241000000.0,,
Financing Cash Flow,-6682000000.0,-4737611543.573192,-6027000000.0,-3218000000.0,-2729000000.0,,
Cash Flow From Continuing Financing Activities,-6682000000.0,-4737611543.573192,-6027000000.0,-3218000000.0,-2729000000.0,,
Net Other Financing Charges,-74000000.0,-135181317.638124,-35000000.0,-132000000.0,113000000.0,,
Interest Paid Cff,-484000000.0,-589139927.852668,-445000000.0,-535000000.0,-359000000.0,,
Cash Dividends Paid,-1511000000.0,-2209796848.30074,-1496000000.0,-2030000000.0,-1706000000.0,,
Common Stock Dividend Paid,-1511000000.0,,,,-1706000000.0,,
Net Preferred Stock Issuance,,,,,,0.0,
Preferred Stock Payments,,,,,,0.0,
Net Common Stock Issuance,,,,0.0,0.0,,0.0
Common Stock Payments,,,,0.0,0.0,,0.0
Net Issuance Payments Of Debt,-4613000000.0,-1803493449.781659,-4051000000.0,-521000000.0,-777000000.0,,
Net Long Term Debt Issuance,-4613000000.0,-1803493449.781659,-4051000000.0,-521000000.0,-777000000.0,,
Long Term Debt Payments,-5227000000.0,-3122650465.160433,-4056000000.0,-2764000000.0,-3349000000.0,,
Long Term Debt Issuance,614000000.0,1319157015.378773,5000000.0,2243000000.0,2572000000.0,,
Investing Cash Flow,-5705000000.0,-3571672678.944371,-6546000000.0,-4765000000.0,-2561000000.0,,
Cash Flow From Continuing Investing Activities,-5705000000.0,-3571672678.944371,-6546000000.0,-4764000000.0,-2561000000.0,,
Net Other Investing Changes,108000000.0,561230301.879628,59000000.0,75000000.0,16000000.0,,
Dividends Received Cfi,69000000.0,1708752.610594,23000000.0,80000000.0,18000000.0,,
Net Investment Purchase And Sale,-1291000000.0,402696031.896715,-46000000.0,-31000000.0,1491000000.0,,
Purchase Of Investment,,,,-31000000.0,,,1070000000.0
Net Business Purchase And Sale,-32000000.0,-31137269.793051,6000000.0,-2000000.0,-2000000.0,,
Purchase Of Business,,,,-2000000.0,-2000000.0,0.0,-9000000.0
Net PPE Purchase And Sale,-4559000000.0,-4506170495.538257,-6588000000.0,-4887000000.0,-4084000000.0,,
Purchase Of PPE,-4559000000.0,-4506170495.538257,-6588000000.0,-4887000000.0,-4084000000.0,,
Operating Cash Flow,12250000000.0,8349155116.764762,10162000000.0,9856000000.0,7531000000.0,,
Cash Flow From Continuing Operating Activities,12250000000.0,8349155116.764762,10162000000.0,9856000000.0,7531000000.0,,
Taxes Refund Paid,-3175000000.0,-1800835390.165179,-1338000000.0,-882000000.0,-1111000000.0,,
Change In Working Capital,-4151000000.0,-1865578127.966584,267000000.0,-1839000000.0,-1832000000.0,,
Change In Other Working Capital,-1759000000.0,-1084868046.326182,-234000000.0,-339000000.0,-979000000.0,,
Change In Other Current Liabilities,-127000000.0,493639643.060566,-741000000.0,-80000000.0,29000000.0,,
Change In Other Current Assets,785000000.0,-669451300.550598,199000000.0,-135000000.0,-194000000.0,,
Change In Payables And Accrued Expense,-676000000.0,411809379.153218,737000000.0,-382000000.0,-144000000.0,,
Change In Payable,-676000000.0,411809379.153218,737000000.0,-382000000.0,-144000000.0,,
Change In Account Payable,-776000000.0,-285361685.969242,1208000000.0,-58000000.0,461000000.0,,
Change In Tax Payable,100000000.0,697171065.122461,-471000000.0,-324000000.0,-605000000.0,,
Change In Income Tax Payable,100000000.0,697171065.122461,-471000000.0,-324000000.0,-605000000.0,,
Change In Inventory,-423000000.0,-778052022.023923,303000000.0,-307000000.0,-494000000.0,,
Change In Receivables,-1951000000.0,-238655781.279666,3000000.0,-596000000.0,-50000000.0,,
Other Non Cash Items,476000000.0,229732295.42434,-576000000.0,469000000.0,1002000000.0,,
Provisionand Write Offof Assets,8000000.0,-8164040.250617,41000000.0,2000000.0,57000000.0,,
Asset Impairment Charge,233000000.0,16138219.100057,1767000000.0,-273000000.0,190000000.0,,
Deferred Tax,3630000000.0,3108980444.275679,80000000.0,2230000000.0,1654000000.0,,
Deferred Income Tax,3630000000.0,3108980444.275679,80000000.0,2230000000.0,1654000000.0,,
Depreciation Amortization Depletion,4263000000.0,4103664325.042719,4092000000.0,4111000000.0,3697000000.0,,
Depreciation And Amortization,,,7598000000.0,605000000.0,3697000000.0,3247000000.0,5857000000.0
Amortization Cash Flow,,,42000000.0,40000000.0,43000000.0,29000000.0,34000000.0
Amortization Of Intangibles,,,42000000.0,40000000.0,43000000.0,29000000.0,34000000.0
Depreciation,,,7556000000.0,565000000.0,3654000000.0,3218000000.0,5823000000.0
Operating Gains Losses,528000000.0,-1654831972.659958,2914000000.0,-15000000.0,-883000000.0,,
Pension And Employee Benefit Expense,562000000.0,538636795.139548,452000000.0,448000000.0,430000000.0,,
Earnings Losses From Equity Investments,-103000000.0,-10062654.262388,217000000.0,-36000000.0,-47000000.0,,
Net Foreign Currency Exchange Gain Loss,109000000.0,-1695082589.709512,2183000000.0,-417000000.0,-1252000000.0,,
Net Income From Continuing Operations,10438000000.0,6220049363.964306,2915000000.0,6053000000.0,4757000000.0,,
